file,exception
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""clbits not idle: %s"" % busy_clbits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""cregs not of type ClassicalRegister: %s""
    % [r for r in cregs if not isinstance(r, ClassicalRegister)]
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""cregs not in circuit: %s"" % unknown_cregs)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""qubits not of type Qubit: %s"" % [b for b in qubits if not isinstance(b, Qubit)]
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""qubits not in circuit: %s"" % unknown_qubits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""qubits not idle: %s"" % busy_qubits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""qregs not of type QuantumRegister: %s""
    % [r for r in qregs if not isinstance(r, QuantumRegister)]
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""qregs not in circuit: %s"" % unknown_qregs)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""wire %s not in circuit"" % wire)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Invalid dagcircuit input node %s has no output"" % self.input_map[wire]
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""invalid creg in condition for %s"" % name)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(f""(qu)bit {wire} not found in {amap}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"CircuitError(""Condition must be used with ClassicalRegister or Clbit."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Did not find creg containing mapped clbit in conditional.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""wire_map maps conditional register onto more than one creg.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Condition registers not found in wire_map."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Front composition not supported yet."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Trying to compose with another DAGCircuit which has more 'in' edges.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Number of items in qubits parameter does not""
    "" match number of qubits in the circuit.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Number of items in clbits parameter does not""
    "" match number of clbits in the circuit.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""duplicates in wire_map"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""wire %s[%d] not in self"" % (m_wire.register.name, m_wire.index)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""inconsistent wire type for %s[%d] in other""
    % (nd.register.name, nd.wire.index)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Cannot add a condition on a generic Operation."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""bad node type %s"" % type(nd))"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Size with control flow is ambiguous.""
    "" You may use `recurse=True` to get a result,""
    "" but see this method's documentation for the meaning of this.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(f""unknown control-flow type: '{node.op.name}'"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Depth with control flow is ambiguous.""
    "" You may use `recurse=True` to get a result,""
    "" but see this method's documentation for the meaning of this.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""not a DAG"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Can't replace an empty node_block"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Replacing the specified node block would introduce a cycle""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(f""expected node DAGOpNode, got {type(node)}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    f""bit mapping invalid: expected {len(node_wire_order)}, got {len(wires)}""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""bit mapping invalid: some bits have duplicate entries"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(f""bit mapping invalid: {our_wire} is not in this DAG"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    f""bit mapping invalid: {input_dag_wire} and {our_wire} are different bit types""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""cannot propagate a condition to an element that already has one""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""cannot propagate a condition to an element that acts on those bits""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Only DAGOpNodes can be replaced."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""Cannot replace node of width ({} qubits, {} clbits) with ""
    ""operation of mismatched width ({} qubits, {} clbits)."".format(
        node.op.num_qubits, node.op.num_clbits, op.num_qubits, op.num_clbits
    )
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Cannot add a condition on a generic Operation."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""Cannot add a condition on a generic Operation."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""nodes to swap are not both DAGOpNodes"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""attempt to swap unconnected nodes"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    'The method remove_op_node only works on DAGOpNodes. A ""%s"" '
    ""node type was wrongly provided."" % type(node)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""The given wire %s is not present in the circuit"" % str(wire))"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/collect_blocks.py,"DAGCircuitError(""not a DAG."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdepnode.py,"QiskitError(""The node %s is not an op node"" % (str(self)))"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""not a Qubit instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""duplicate qubits %s"" % duplicate_qubits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""not a Clbit instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""duplicate clbits %s"" % duplicate_clbits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""not a QuantumRegister instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""duplicate register %s"" % qreg.name)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""not a ClassicalRegister instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""duplicate register %s"" % creg.name)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(""Can't replace an empty node_block"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagdependency.py,"DAGDependencyError(
    ""Replacing the specified node block would introduce a cycle""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/pulse_qobj.py,"TypeError(f""{value} is not in a valid complex number format."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/lo_config.py,"QiskitError(
    ""Invalid experiment level qubit LO's. Must either pass values ""
    ""for all drive channels or pass 'default_qubit_los'.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/lo_config.py,"QiskitError(
    ""Invalid experiment level measurement LO's. Must either pass ""
    ""values for all measurement channels or pass 'default_meas_los'.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(f""'{instance}' is not valid pulse type."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(""Bundle of instruction is not supported except for Acquire."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(
    f""Pulse Qobj doesn't support {instruction.__class__.__name__}. ""
    ""This instruction cannot be submitted with Qobj.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(
    ""The supplied acquire instructions have different starting times. ""
    ""Something has gone wrong calling this code. Please report this ""
    ""issue.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(
    ""Acquire instructions beginning at the same time must have same duration.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(
    ""A discriminator must be supplied for every acquisition or a single ""
    ""discriminator for all acquisitions.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(
    ""A kernel must be supplied for every acquisition or a single ""
    ""kernel for all acquisitions.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(""Channel %s is not valid"" % channel)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/qobj/converters/pulse_instruction.py,"QiskitError(
    f""Instruction {instruction.name} on qubit {instruction.qubits} is not found  ""
    ""in Qiskit namespace. This instruction cannot be deserialized.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/measures.py,"QiskitError(
    ""Input quantum channel and target unitary must have the same ""
    ""dimensions ({} != {})."".format(channel.dim, target.dim)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/measures.py,"QiskitError(
    ""Target channel is not a unitary channel. To compare ""
    ""two non-unitary channels use the ""
    ""`qiskit.quantum_info.process_fidelity` function instead.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/measures.py,"MissingOptionalLibraryError(
    ""CVXPY >= 1.0"",
    ""diamond_norm"",
    msg=f""Incompatible CVXPY version {version} found."",
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(f""Input shape is not 1 or 2-dimensional (shape = {shape})"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Output dimensions do not match matrix shape ""
    ""({} != {})"".format(reduce(mul, self._dims_l), shape[0])
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Number of left qubits does not match matrix shape"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Input dimensions do not match matrix shape ""
    ""({} != {})"".format(reduce(mul, self._dims_r), shape[1])
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Number of right qubits does not match matrix shape"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Input dimension should be empty for vector shape."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""`dims` kwarg cannot be used with `dims_l` or `dims_r`"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""`num_qubits` kwarg cannot be used with `num_qubits_l` or `num_qubits_r`""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""qargs cannot be specified with qargs_l or qargs_r"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Max qargs_l is larger than number of left qargs"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Max qargs_r is larger than number of right qargs"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""qargs cannot be specified with qargs_l or qargs_r"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Max qargs_l is larger than number of left qargs"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(""Max qargs_r is larger than number of right qargs"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Left and right compose dimensions don't match ""
    ""({} != {})"".format(self.dims_r(), other.dims_l())
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Left and right compose dimensions don't match ""
    ""({} != {})"".format(self.dims_l(), other.dims_r())
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Number of qargs does not match ({} != {})"".format(
        len(qargs), other._num_qargs_l
    )
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Subsystem dimension do not match on specified qargs ""
    ""{} != {}"".format(self.dims_r(qargs), other.dims_l())
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Number of qargs does not match ({} != {})"".format(
        len(qargs), other._num_qargs_r
    )
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Subsystem dimension do not match on specified qargs ""
    ""{} != {}"".format(self.dims_l(qargs), other.dims_r())
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Cannot add using qargs if number of left and right qargs are not equal.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Cannot add shapes width different left ""
    ""dimension on specified qargs {} != {}"".format(
        self.dims_l(qargs), other.dims_l()
    )
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Cannot add shapes width different total right ""
    ""dimension on specified qargs{} != {}"".format(
        self.dims_r(qargs), other.dims_r()
    )
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Cannot add shapes width different total left ""
    ""dimension {} != {}"".format(self._dim_l, other._dim_l)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/op_shape.py,"QiskitError(
    ""Cannot add shapes width different total right ""
    ""dimension {} != {}"".format(self._dim_r, other._dim_r)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/pauli.py,"AttributeError(f""module '{__name__}' has no attribute '{name}'"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/custom_iterator.py,StopIteration
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/random.py,"QiskitError(
    ""No dimensions specified: input_dims and output_dims cannot both be None.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/random.py,"QiskitError(f""Rank {rank} must be greater than 0."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/scalar_op.py,"QiskitError(f""other ({other}) is not a number"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(""Invalid input data format for Operator"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(""Label contains invalid characters."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(
    ""The size of the permutation pattern does not match dimensions of the operator.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(
    ""The size of the permutation pattern does not match dimensions of the operator.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(""Can only power with input_dims = output_dims."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(""other is not a number"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(""Contracted matrix must have an even number of indices."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(""Input is neither an Instruction nor Clifford."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(f""Cannot apply Operation: {obj.name}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(
    'Operation ""{}"" '
    ""definition is {} but expected QuantumCircuit."".format(
        obj.name, type(obj.definition)
    )
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/operator.py,"QiskitError(
    ""Cannot apply operation with classical bits:""
    f"" {instruction.operation.name}""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/base_operator.py,"QiskitError(
    ""qargs does not match the number of operator qargs ""
    f""({n_qargs} not in {self._op_shape.num_qargs})""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/mixins/group.py,"QiskitError(""Can only power with positive integer powers."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/mixins/tolerances.py,"QiskitError(f""Invalid {value_name} ({value}) must be non-negative."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/mixins/tolerances.py,"QiskitError(f""Invalid {value_name} ({value}) must be less than {cls._MAX_TOL}."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(""Input Pauli list is empty."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"ValueError(
    f""The {i}th Pauli is defined over {pauli.num_qubits} qubits, ""
    f""but num_qubits == {num_qubits} was expected.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"IndexError(f""Invalid PauliList index {index}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"IndexError(f""Invalid PauliList index {index}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Indices {} are not all less than the size""
    "" of the PauliList ({})"".format(ind, len(self))
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Indices {} are not all less than the number of""
    "" qubits in the PauliList ({})"".format(ind, self.num_qubits)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(""Insert index must be an integer."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Index {} is larger than the number of rows in the""
    "" PauliList ({})."".format(ind, size)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Index {} is greater than number of qubits""
    "" in the PauliList ({})"".format(ind, self.num_qubits)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Input PauliList must have a single row, or""
    "" the same number of rows as the Pauli Table""
    "" ({})."".format(size)
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Incompatible PauliLists. Other list must ""
    ""have either 1 or the same number of Paulis.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/pauli_list.py,"QiskitError(
    ""Incompatible PauliLists. Other list must ""
    ""have either 1 or the same number of Paulis.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/base_pauli.py,"QiskitError(f""other {type(self).__name__} must be on the same number of qubits."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/quantum_info/operators/symplectic/base_pauli.py,"QiskitError(
    f""Number of qubits of the other {type(self).__name__} does not match qargs.""
)"
